START
P	rbrbrj
1483786,GRAV,-5.74,-3.16,-7.40
1483788,LINACC,0.27,-1.66,-0.23
1483795,GYRO,-0.21,-0.09,0.05
1483797,ROT,0.33,-0.13,0.92,-0.12
1483800,GAMEROT,0.31,0.01,0.93,-0.18
1483806,MAGCAL,-24.87,-10.06,80.81
1483808,STAB,1483810,ACCEL,-5.82,-2.80,-7.28
1483835,GYRO,-0.09,-0.28,0.34
1483837,ROT,0.34,-0.13,0.92,-0.12
1483840,GAMEROT,0.31,0.02,0.93,-0.17
1483846,ACCEL,-4.10,-2.72,-6.44
1483848,GRAV,-5.83,-3.06,-7.37
1483850,LINACC,1.73,0.34,0.93
1483854,MAGCAL,-26.12,-13.00,82.50
1483859,STAB,1483868,ACCEL,-5.40,-2.95,-6.86
1483875,GYRO,-0.10,-0.42,0.29
1483877,ROT,0.34,-0.13,0.92,-0.12
1483880,GAMEROT,0.32,0.02,0.93,-0.17
1483887,MAGCAL,-25.75,-13.25,81.94
1483896,GRAV,-6.02,-2.93,-7.27
1483898,LINACC,0.61,-0.02,0.42
1483901,ACCEL,-7.09,-3.33,-7.13
1483907,STAB,1483915,GYRO,-0.09,-0.14,0.20
1483917,ROT,0.35,-0.13,0.92,-0.11
1483920,GAMEROT,0.33,0.02,0.93,-0.17
1483927,MAGCAL,-25.19,-14.31,82.00
1483930,ACCEL,-6.32,-2.87,-6.82
1483946,GRAV,-6.08,-2.85,-7.23
1483948,LINACC,-0.24,-0.02,0.41
1483955,GYRO,-0.01,-0.18,0.17
1483957,ROT,0.35,-0.12,0.92,-0.11
1483960,GAMEROT,0.33,0.03,0.93,-0.16
1483966,ACCEL,-5.48,-2.49,-6.44
1483968,STAB,1483971,MAGCAL,-24.56,-13.19,81.87
1483994,ACCEL,-6.47,-2.99,-6.78
1483997,GYRO,-0.15,-0.10,0.36
1483999,ROT,0.36,-0.12,0.92,-0.11
1484002,GAMEROT,0.33,0.03,0.93,-0.16
1484007,GRAV,-6.20,-2.70,-7.19
1484009,LINACC,-0.28,-0.29,0.41
1484012,MAGCAL,-25.06,-15.38,82.44
1484018,STAB,1484027,ACCEL,-7.28,-2.80,-7.24
1484035,GYRO,-0.18,0.43,0.22
1484037,ROT,0.35,-0.11,0.92,-0.10
1484040,GAMEROT,0.33,0.03,0.93,-0.16
1484047,MAGCAL,-24.06,-14.56,81.75
1484057,GRAV,-6.09,-2.57,-7.31
1484059,LINACC,-1.18,-0.23,0.07
1484061,ACCEL,-6.13,-2.22,-7.05
1484067,STAB,1484075,GYRO,-0.00,0.61,-0.06
1484077,ROT,0.34,-0.11,0.93,-0.10
1484080,GAMEROT,0.32,0.04,0.93,-0.15
1484087,ACCEL,-5.67,-1.34,-7.01
1484089,MAGCAL,-23.31,-14.50,80.75
1484107,GRAV,-5.83,-2.57,-7.52
1484109,LINACC,0.16,1.23,0.51
1484115,GYRO,-0.14,1.65,-0.02
1484117,ROT,0.32,-0.11,0.93,-0.10
1484120,GAMEROT,0.30,0.04,0.94,-0.15
1484125,ACCEL,-6.44,-2.26,-7.63
1484128,STAB,1484131,MAGCAL,-19.75,-10.31,76.31
1484149,ACCEL,-6.89,-2.84,-9.89
1484155,GYRO,-1.04,7.88,1.59
1484157,ROT,0.25,-0.10,0.96,-0.10
1484160,GAMEROT,0.23,0.05,0.96,-0.13
1484165,GRAV,-3.73,-2.23,-8.84
1484167,LINACC,-3.17,-0.60,-1.04
1484170,MAGCAL,-8.69,2.25,61.50
1484184,STAB,1484189,ACCEL,-5.44,1.42,-8.93
1484195,GYRO,0.67,9.67,0.87
1484197,ROT,0.04,-0.04,0.99,-0.13
1484200,GAMEROT,0.02,0.11,0.98,-0.14
1484207,MAGCAL,-4.56,7.94,52.63
1484212,ACCEL,4.52,-7.12,-0.69
1484218,GRAV,0.77,-2.51,-9.48
1484220,LINACC,3.75,-4.62,8.79
1484227,STAB,1484235,GYRO,-2.14,1.22,-0.72
1484237,ROT,0.06,0.03,-0.99,0.12
1484240,GAMEROT,0.08,-0.13,-0.98,0.10
1484245,ACCEL,1.11,-4.18,-8.43
1484248,MAGCAL,-2.44,8.81,52.75
1484267,GRAV,1.54,-1.70,-9.56
1484269,LINACC,-0.43,-2.48,1.14
1484275,ACCEL,-0.46,0.61,-13.45
1484278,GYRO,-0.21,0.30,0.81
1484280,ROT,0.08,0.03,-0.99,0.09
1484283,GAMEROT,0.09,-0.13,-0.98,0.07
1484289,STAB,1484292,MAGCAL,-0.50,9.63,51.50
1484308,ACCEL,1.38,-1.91,-10.04
1484316,GYRO,0.15,-0.29,0.48
1484318,ROT,0.08,0.01,-0.99,0.09
1484321,GAMEROT,0.09,-0.15,-0.98,0.08
1484327,GRAV,1.51,-1.77,-9.55
1484329,LINACC,-0.13,-0.14,-0.49
1484332,MAGCAL,1.94,11.25,49.19
1484338,STAB,1484340,ACCEL,2.18,-2.37,-9.39
1484356,GYRO,-0.19,-0.43,0.35
1484358,ROT,0.07,0.00,-0.99,0.09
1484361,GAMEROT,0.08,-0.16,-0.98,0.08
1484368,ACCEL,0.61,-1.76,-9.77
1484370,MAGCAL,2.44,10.94,49.56
1484377,GRAV,1.20,-1.67,-9.59
1484379,LINACC,-0.59,-0.09,-0.18
